Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position_x,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used,Nationality_x,Player Name,ID,Name,Age,Photo,Nationality_y,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position_y,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
Argentina,2,Adidas,GK,23.0,"Sep 2, 1992",Aston Villa,E. Martinez,7,0,0,0.00,0.00,0.00,0.65,46.67%,43%,Adidas,Argentina,L. Messi,227803,E. Martinez,27,https://cdn.sofifa.com/players/227/803/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,73,73,Barcelona Sporting Club,https://cdn.sofifa.com/teams/110981/30.png,€3.2M,€1K,1735,Right,1.0,4.0,4.0,Medium/ Medium,Lean (170-),No,"<span class=""pos pos16"">LM",8.0,"Jan 2, 2020",,2023,169cm,67kg,72.0,68.0,43.0,72.0,44.0,80.0,46.0,67.0,61.0,72.0,78.0,79.0,77.0,66.0,57.0,62.0,48.0,74.0,57.0,68.0,37.0,36.0,63.0,72.0,70.0,71.0,,35.0,34.0,14.0,12.0,10.0,11.0,15.0,LM,73.0,€7M,35.0
Argentina,2,Adidas,GK,1.0,"Oct 16, 1986",River,F. Armani,0,-,-,-,-,-,-,-,-,Nike,Argentina,L. Messi,214584,F. Armani,34,https://cdn.sofifa.com/players/214/584/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,80,80,River Plate,https://cdn.sofifa.com/teams/1876/30.png,€3.6M,€17K,1294,Right,1.0,3.0,1.0,Medium/ Medium,Normal (185+),No,"<span class=""pos pos28"">SUB",1.0,,,,189cm,88kg,18.0,11.0,19.0,35.0,18.0,19.0,15.0,16.0,29.0,35.0,41.0,45.0,37.0,77.0,39.0,50.0,67.0,35.0,81.0,17.0,45.0,21.0,17.0,55.0,20.0,55.0,,13.0,19.0,78.0,76.0,67.0,79.0,85.0,GK,80.0,€5M,15.0
Argentina,2,Adidas,GK,12.0,"May 20, 1992",Villarreal,G. Rulli,0,-,-,-,-,-,-,-,-,Adidas,Argentina,L. Messi,215316,G. Rulli,29,https://cdn.sofifa.com/players/215/316/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,80,80,Villarreal CF,https://cdn.sofifa.com/teams/483/30.png,€14.5M,€31K,1308,Right,3.0,3.0,1.0,Medium/ Medium,Normal (185+),Yes,"<span class=""pos pos0"">GK",13.0,"Sep 4, 2020",,2024,189cm,84kg,12.0,15.0,12.0,32.0,16.0,14.0,19.0,20.0,23.0,15.0,56.0,52.0,58.0,76.0,50.0,59.0,65.0,42.0,73.0,17.0,26.0,21.0,12.0,58.0,24.0,61.0,,13.0,17.0,80.0,79.0,78.0,79.0,80.0,GK,80.0,€30.5M,15.0
Argentina,2,Adidas,DF,19.0,"Feb 12, 1988",Benfica,N. Otamendi,7,0,1,0.33,1.17,1.30,7.17,-,-,Nike,Argentina,L. Messi,192366,N. Otamendi,33,https://cdn.sofifa.com/players/192/366/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,81,81,SL Benfica,https://cdn.sofifa.com/teams/234/30.png,€12.5M,€18K,1894,Right,3.0,3.0,2.0,Medium/ High,Normal (170-185),Yes,"<span class=""pos pos6"">LCB",19.0,,,,183cm,76kg,52.0,54.0,79.0,73.0,57.0,51.0,50.0,39.0,70.0,66.0,60.0,65.0,58.0,79.0,58.0,69.0,88.0,75.0,80.0,56.0,90.0,84.0,48.0,53.0,45.0,79.0,,83.0,80.0,12.0,5.0,8.0,11.0,12.0,CB,81.0,€25M,84.0
Argentina,2,Adidas,DF,8.0,"Oct 28, 1991",Sevilla,M. Acuna,6,0,0,1.45,0.48,2.90,7.97,-,-,Nike,Argentina,L. Messi,224334,M. Acuna,29,https://cdn.sofifa.com/players/224/334/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,84,84,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,€37M,€45K,2292,Left,2.0,3.0,4.0,High/ High,Stocky (170-185),No,"<span class=""pos pos7"">LB",19.0,"Sep 14, 2020",,2024,172cm,69kg,87.0,66.0,58.0,82.0,68.0,87.0,88.0,75.0,78.0,88.0,77.0,76.0,83.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,79.0,81.0,82.0,76.0,87.0,,84.0,82.0,8.0,14.0,13.0,13.0,14.0,LB,84.0,€77.7M,80.0
Argentina,2,Adidas,DF,3.0,"Aug 31, 1992",Lyon,N. Tagliafico,6,0,0,0.48,2.17,1.69,5.07,-,-,Nike,Argentina,L. Messi,211256,N. Tagliafico,28,https://cdn.sofifa.com/players/211/256/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,82,Ajax,https://cdn.sofifa.com/teams/245/30.png,€27.5M,€24K,2081,Left,3.0,2.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",31.0,"Jan 5, 2018",,2023,172cm,65kg,76.0,55.0,82.0,77.0,44.0,73.0,66.0,40.0,75.0,77.0,79.0,81.0,77.0,81.0,81.0,65.0,90.0,89.0,75.0,46.0,84.0,80.0,69.0,69.0,46.0,77.0,,80.0,80.0,13.0,9.0,10.0,15.0,16.0,LB,82.0,€38.5M,81.0
Argentina,2,Adidas,DF,6.0,"Jun 27, 1991",Real Betis,G. Pezzella,3,0,0,0.00,0.00,0.00,3.16,-,-,Nike,Argentina,L. Messi,193601,G. Pezzella,30,https://cdn.sofifa.com/players/193/601/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,77,77,Real Betis Balompié,https://cdn.sofifa.com/teams/449/30.png,€8.5M,€22K,1647,Right,1.0,3.0,2.0,Medium/ Medium,Normal (185+),No,"<span class=""pos pos28"">SUB",16.0,"Aug 19, 2021",,2025,186cm,81kg,40.0,48.0,80.0,64.0,40.0,54.0,46.0,25.0,56.0,65.0,55.0,53.0,33.0,69.0,49.0,54.0,81.0,57.0,77.0,50.0,79.0,78.0,47.0,22.0,35.0,72.0,,81.0,77.0,7.0,9.0,13.0,10.0,15.0,CB,77.0,€17.9M,78.0
Argentina,2,Adidas,DF,26.0,"Apr 6, 1998",Atletico Madrid,N. Molina,7,1,1,0.32,0.47,1.42,1.58,-,-,Nike,Argentina,L. Messi,233084,N. Molina,23,https://cdn.sofifa.com/players/233/084/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,73,81,Udinese Calcio,https://cdn.sofifa.com/teams/55/30.png,€6.5M,€11K,1898,Right,1.0,3.0,2.0,High/ High,Lean (170-185),No,"<span class=""pos pos12"">RM",16.0,"Sep 2, 2020",,2026,175cm,70kg,72.0,68.0,60.0,71.0,58.0,74.0,63.0,32.0,64.0,71.0,79.0,77.0,74.0,65.0,69.0,69.0,75.0,79.0,57.0,58.0,70.0,70.0,70.0,66.0,38.0,68.0,,70.0,63.0,12.0,13.0,8.0,5.0,10.0,RWB,73.0,€13M,68.0
Argentina,2,Adidas,DF,4.0,"Jan 1, 1997",Sevilla,G. Montiel,4,0,0,0.77,0.77,2.31,5.39,-,-,NIke,Argentina,L. Messi,231340,G. Montiel,24,https://cdn.sofifa.com/players/231/340/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,78,84,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,€21M,€23K,2020,Right,1.0,3.0,3.0,High/ Medium,Normal (170-185),No,"<span class=""pos pos28"">SUB",2.0,"Aug 13, 2021",,2026,175cm,70kg,72.0,41.0,71.0,76.0,41.0,71.0,59.0,39.0,66.0,75.0,87.0,85.0,82.0,75.0,71.0,65.0,80.0,93.0,73.0,59.0,87.0,73.0,77.0,70.0,75.0,75.0,,73.0,73.0,6.0,10.0,11.0,5.0,6.0,RWB,79.0,€48.3M,73.0
Argentina,2,Adidas,DF,2.0,"Jan 12, 1998",Villarreal,J. Foyth,1,0,0,N.A,0.00,0.00,N.A,-,-,Adidas,Argentina,L. Messi,237221,J. Foyth,23,https://cdn.sofifa.com/players/237/221/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,75,83,Villarreal CF,https://cdn.sofifa.com/teams/483/30.png,€11.5M,€22K,1869,Right,1.0,3.0,3.0,Medium/ High,Lean (185+),Yes,"<span class=""pos pos28"">SUB",8.0,"Jul 1, 2021",,2026,187cm,69kg,69.0,43.0,73.0,74.0,43.0,71.0,61.0,47.0,66.0,76.0,66.0,66.0,70.0,73.0,67.0,56.0,74.0,72.0,74.0,39.0,73.0,74.0,50.0,62.0,47.0,65.0,,78.0,75.0,8.0,15.0,7.0,14.0,9.0,CB,77.0,€26.5M,77.0
